구,총_필요량합,최대_시간대_필요량,80%_커버_최소대수,90%_커버_최소대수,95%_커버_최소대수,엘보우_대수,엘보우_커버율,엘보우_미대응비율,엘보우_포화감소율
강남구 ,7129,6,2,3,3,4,0.9946696591387292,0.005330340861270866,0.9946696591387292
강동구 ,4281,4,2,2,2,3,0.9995328194347115,0.000467180565288484,0.9995328194347115
강북구 ,305,2,1,1,1,2,1.0,0.0,1.0
강서구 ,1806,2,1,1,2,0,0.0,1.0,0.0
관악구 ,914,2,1,1,1,2,1.0,0.0,1.0
광진구 ,8188,6,2,3,3,4,0.9936492427943332,0.006350757205666829,0.9936492427943332
구로구 ,9,1,1,1,1,0,0.0,1.0,0.0
금천구 ,447,1,1,1,1,0,0.0,1.0,0.0
노원구 ,7720,7,2,3,3,4,0.9883419689119171,0.011658031088082901,0.9883419689119171
도봉구 ,13031,7,3,3,4,5,0.9960095157700867,0.003990484229913284,0.9960095157700867
동대문구 ,5027,4,2,2,2,3,0.999403222597971,0.0005967774020290431,0.999403222597971
동작구 ,6797,5,2,2,3,4,0.998381638958364,0.0016183610416360158,0.998381638958364
마포구 ,8019,4,2,3,3,4,1.0,0.0,1.0
서대문구 ,7124,5,2,2,3,4,0.9997192588433464,0.00028074115665356543,0.9997192588433464
서초구 ,1565,1,1,1,1,0,0.0,1.0,0.0
성동구 ,4436,4,2,2,2,3,0.9988728584310189,0.001127141568981064,0.9988728584310189
성북구 ,1156,3,1,1,2,3,1.0,0.0,1.0
송파구 ,2381,2,1,1,1,2,1.0,0.0,1.0
양천구 ,7430,6,2,3,3,4,0.9965006729475101,0.0034993270524899056,0.9965006729475101
영등포구 ,205,1,1,1,1,0,0.0,1.0,0.0
용산구 ,1865,2,1,1,2,0,0.0,1.0,0.0
은평구 ,2139,3,1,1,2,3,1.0,0.0,1.0
종로구 ,73,2,1,1,1,2,1.0,0.0,1.0
중구 ,15897,9,4,4,5,6,0.992199786123168,0.007800213876832106,0.992199786123168
중랑구 ,903,2,1,1,2,0,0.0,1.0,0.0
