Benchmark,Algorithm,Trial,BestFitness,Runtime
Sphere,GWO,1,8.070660294856144e-67,3.903102159500122
Sphere,GWO,2,1.7845698133113505e-67,3.708554267883301
Sphere,GWO,3,2.1649121062766934e-67,3.7221755981445312
Sphere,GWO,4,2.165977688362513e-66,3.7422900199890137
Sphere,GWO,5,9.99553620624343e-67,4.018562316894531
Sphere,GWO,6,3.1822918532591926e-66,3.7184255123138428
Sphere,GWO,7,2.6996750512030175e-67,3.5930674076080322
Sphere,GWO,8,3.969314014143292e-67,3.906925678253174
Sphere,GWO,9,3.872769095236711e-65,6.408169984817505
Sphere,GWO,10,2.3542836886531205e-66,7.5694475173950195
Sphere,GWO,11,2.8219462037952484e-66,7.5467307567596436
Sphere,GWO,12,1.1355046103121206e-66,7.178744077682495
Sphere,GWO,13,2.9941126674886044e-67,7.75645899772644
Sphere,GWO,14,1.3144186035049078e-66,7.1638407707214355
Sphere,GWO,15,1.0930539983128584e-67,7.214536190032959
Sphere,GWO,16,2.0586214302231013e-67,7.593465805053711
Sphere,GWO,17,6.137515223815298e-64,7.391004800796509
Sphere,GWO,18,1.585948947934655e-66,7.726902723312378
Sphere,GWO,19,1.2167456771168294e-68,7.290190696716309
Sphere,GWO,20,4.96937912551416e-66,7.576545715332031
Sphere,GA,1,209.58955799771007,3.845094919204712
Sphere,GA,2,226.4072631303305,3.7603018283843994
Sphere,GA,3,186.0314292331212,3.5004491806030273
Sphere,GA,4,202.49902224653093,4.050689458847046
Sphere,GA,5,150.52550222446501,3.9280614852905273
Sphere,GA,6,220.09564375377894,4.048106908798218
Sphere,GA,7,210.39254868210242,3.7630512714385986
Sphere,GA,8,220.54537873469593,3.792642116546631
Sphere,GA,9,189.0460951048673,3.86859130859375
Sphere,GA,10,223.29427530770394,3.5047290325164795
Sphere,GA,11,224.35153515401396,3.721672773361206
Sphere,GA,12,215.05006678759676,4.089693546295166
Sphere,GA,13,195.61936558071372,3.7778689861297607
Sphere,GA,14,220.9087486316108,3.6679532527923584
Sphere,GA,15,199.89483747588872,3.93835186958313
Sphere,GA,16,147.56292588072006,3.7937278747558594
Sphere,GA,17,203.5285465525905,3.7657318115234375
Sphere,GA,18,182.26720364384104,3.762532949447632
Sphere,GA,19,168.02420444188732,4.130329132080078
Sphere,GA,20,156.06420410100688,4.030926942825317
Rastrigin,GWO,1,5.146416957892654,8.77277159690857
Rastrigin,GWO,2,0.0,7.611173868179321
Rastrigin,GWO,3,5.684341886080802e-14,7.473154544830322
Rastrigin,GWO,4,6.8387851150787355,7.552623510360718
Rastrigin,GWO,5,10.55216724786112,7.47055983543396
Rastrigin,GWO,6,9.55818676168667,7.413221120834351
Rastrigin,GWO,7,5.20646610217392,7.7301976680755615
Rastrigin,GWO,8,0.0,7.877753973007202
Rastrigin,GWO,9,0.0,7.02009391784668
Rastrigin,GWO,10,10.151662946276474,7.847164869308472
Rastrigin,GWO,11,5.684341886080802e-14,7.429290294647217
Rastrigin,GWO,12,1.1368683772161603e-13,7.094043970108032
Rastrigin,GWO,13,0.0,8.954087018966675
Rastrigin,GWO,14,3.4053235114832887,7.575153827667236
Rastrigin,GWO,15,2.140612939204061,7.304461717605591
Rastrigin,GWO,16,0.0,7.216498136520386
Rastrigin,GWO,17,3.4219431528173914,7.495248556137085
Rastrigin,GWO,18,6.315849585942715,7.48896050453186
Rastrigin,GWO,19,2.148105756735788,7.096618890762329
Rastrigin,GWO,20,0.0,7.217366695404053
Rastrigin,GA,1,109.92640079183334,4.155545949935913
Rastrigin,GA,2,110.55209192540306,4.4091575145721436
Rastrigin,GA,3,103.5835561578121,4.072977304458618
Rastrigin,GA,4,100.50764745020004,4.052008390426636
Rastrigin,GA,5,111.74361576567225,4.025757312774658
Rastrigin,GA,6,102.4998395927303,4.075374364852905
Rastrigin,GA,7,98.13328748777374,4.163980007171631
Rastrigin,GA,8,94.12059793470482,4.166285991668701
Rastrigin,GA,9,125.81691465280772,3.8392276763916016
Rastrigin,GA,10,116.06891499609924,4.284149646759033
Rastrigin,GA,11,119.09907575716187,4.211029767990112
Rastrigin,GA,12,128.01342503208852,3.763131618499756
Rastrigin,GA,13,109.99977764341867,4.176791429519653
Rastrigin,GA,14,122.1101438178855,3.7363052368164062
Rastrigin,GA,15,86.27263522780584,3.95412540435791
Rastrigin,GA,16,93.69526877197771,4.1008381843566895
Rastrigin,GA,17,120.13503880191635,4.1375861167907715
Rastrigin,GA,18,103.8750687962073,3.8747522830963135
Rastrigin,GA,19,109.64330834581986,4.408021926879883
Rastrigin,GA,20,122.22141921366634,4.3063952922821045
Rosenbrock,GWO,1,27.927634110540172,6.947551727294922
Rosenbrock,GWO,2,27.137633387536958,3.817263126373291
Rosenbrock,GWO,3,27.118392376171247,4.208342552185059
Rosenbrock,GWO,4,27.06284429417436,8.432674884796143
Rosenbrock,GWO,5,27.156222640567744,7.377343654632568
Rosenbrock,GWO,6,27.900324614814824,7.851915121078491
Rosenbrock,GWO,7,27.171936938671994,7.377644300460815
Rosenbrock,GWO,8,26.15149031819444,7.4188666343688965
Rosenbrock,GWO,9,26.1843219169349,7.319272994995117
Rosenbrock,GWO,10,26.10723074340481,8.05328631401062
Rosenbrock,GWO,11,26.12976914559438,7.595842599868774
Rosenbrock,GWO,12,26.099492258764215,7.340687990188599
Rosenbrock,GWO,13,27.025373792074532,7.334270477294922
Rosenbrock,GWO,14,27.105097235731794,7.522787570953369
Rosenbrock,GWO,15,27.117537597704068,7.5688087940216064
Rosenbrock,GWO,16,26.131045655071595,6.94529390335083
Rosenbrock,GWO,17,25.370225311988786,7.247114658355713
Rosenbrock,GWO,18,27.992193727304155,7.424301385879517
Rosenbrock,GWO,19,26.144407028925713,8.183307409286499
Rosenbrock,GWO,20,27.90160528835165,7.758074045181274
Rosenbrock,GA,1,6723.744241680822,4.554199457168579
Rosenbrock,GA,2,4773.375417658555,3.969944477081299
Rosenbrock,GA,3,5517.870991199004,3.964582920074463
Rosenbrock,GA,4,4020.2721673707406,4.5264787673950195
Rosenbrock,GA,5,4535.981081767667,4.3275957107543945
Rosenbrock,GA,6,5399.948444303254,4.277441024780273
Rosenbrock,GA,7,4441.784850155331,4.822065591812134
Rosenbrock,GA,8,5098.5746533830725,4.760367155075073
Rosenbrock,GA,9,5589.422321724452,4.2461748123168945
Rosenbrock,GA,10,7489.865487413292,4.474611520767212
Rosenbrock,GA,11,7056.329860562008,4.378318786621094
Rosenbrock,GA,12,3856.8331291115705,4.447100400924683
Rosenbrock,GA,13,6394.772814103268,4.371446132659912
Rosenbrock,GA,14,2944.5741710020106,3.9742214679718018
Rosenbrock,GA,15,7333.390097428833,4.135584592819214
Rosenbrock,GA,16,6224.811719921973,4.066667556762695
Rosenbrock,GA,17,4844.239481107461,3.9253087043762207
Rosenbrock,GA,18,5877.238375518485,4.675127029418945
Rosenbrock,GA,19,4878.819820187398,4.355820178985596
Rosenbrock,GA,20,5877.992635834115,4.593793869018555
