Problem,Initial_Tardiness,Final_Tardiness,Dispatch_Time(s),Total_Time(s),Status
instance_1.prob,73.04895867673696,52.83297616919168,0.0002,0.3031,DONE
instance_10.prob,242.0961619964151,181.52858931314577,0.0003,0.3042,DONE
instance_11.prob,512.0011817386326,435.7117249641997,0.0008,0.3269,DONE
instance_12.prob,155.9172228610475,120.95460841987962,0.0003,0.3191,DONE
instance_13.prob,3.1934591037243774,0.17664103410416487,0.0002,0.3035,DONE
instance_14.prob,203.04353043409554,161.68556081214854,0.0006,0.3133,DONE
instance_15.prob,32.65029518495223,10.555583162452436,0.0006,0.3038,DONE
instance_16.prob,458.4892539831283,304.6685690600799,0.0009,0.3251,DONE
instance_17.prob,346.78701169039795,282.50404024102306,0.0005,0.3126,DONE
instance_18.prob,128.29877530777023,92.85736801946427,0.0007,0.337,DONE
instance_19.prob,214.8588833137056,147.2364857290591,0.0004,0.3136,DONE
instance_2.prob,237.3397638571253,161.61614582286265,0.0003,0.3208,DONE
instance_20.prob,83.20019219079623,40.532652021236785,0.0004,0.3256,DONE
instance_21.prob,171.35129224644595,123.95661410447684,0.0002,0.3262,DONE
instance_22.prob,330.13583408493656,227.3776572737916,0.0007,0.3237,DONE
instance_23.prob,341.20114139732567,255.00722594159205,0.0004,0.3301,DONE
instance_24.prob,213.87740332535924,171.106385297962,0.0009,0.3288,DONE
instance_25.prob,66.76265272967845,47.11230669717597,0.0004,0.3054,DONE
instance_26.prob,38.91540921251416,9.17188774684885,0.0003,0.3035,DONE
instance_27.prob,489.6823481473714,400.72562091815155,0.0009,0.3009,DONE
instance_28.prob,258.47828496210593,202.62700946069995,0.0005,0.3282,DONE
instance_29.prob,20.98407259712788,6.297430512724457,0.0003,0.3135,DONE
instance_3.prob,147.5127412373855,120.68039829547996,0.0003,0.3382,DONE
instance_30.prob,5.159065584642558,0.0,0.0002,0.3074,DONE
instance_4.prob,40.515170928416396,31.74315166546142,0.0002,0.3111,DONE
instance_5.prob,61.33667381049056,33.1929296668387,0.0004,0.3136,DONE
instance_6.prob,55.035017982750574,42.00535379595773,0.0002,0.3052,DONE
instance_7.prob,94.3702243729317,68.85346178059379,0.0005,0.3286,DONE
instance_8.prob,420.67928736372573,350.98563509111386,0.0003,0.3129,DONE
instance_9.prob,594.3422495758149,503.60702154708406,0.0006,0.3187,DONE
