Problem,Best_Method,Best_Tardiness,SPT,EDD,Regret-3,ILS,VNS,SA,GA
instance_1.prob,ILS,4685.769912312317,7710.662278185491,8462.659636415674,4728.207858768146,4685.769912312317,4686.379119416571,7753.3966496471285,8344.986780766563
instance_10.prob,VNS,4627.531851524305,7567.1810346775155,8415.088697756531,4657.52217680287,4633.883576821616,4627.531851524305,7199.002174221915,8294.304957416922
instance_11.prob,VNS,3915.146267047803,8020.506185926883,8108.350143499072,3961.5964826353766,3919.823795117915,3915.146267047803,7056.482590182377,7818.148856305732
instance_12.prob,ILS,5264.17121824479,10499.246764472831,11845.807465412978,5392.1933083226295,5264.17121824479,5278.950287351205,9644.69446738364,11108.020383235797
instance_13.prob,VNS,1925.637091571944,4900.708234765174,5172.874363280376,1964.6128218170848,1930.415094408193,1925.637091571944,4590.433995587136,5083.356973150663
instance_14.prob,VNS,2263.2790713711174,5071.22464366258,5220.454396736338,2278.867913324321,2263.789159936875,2263.2790713711174,4587.655582961077,5172.500655496142
instance_15.prob,ILS,7941.6279172469085,17285.252876105365,18141.5940802708,8012.489104798156,7941.6279172469085,7957.166250491223,16298.693760205857,18070.7682437768
instance_16.prob,VNS,3568.8692232462886,8764.17162953759,10449.200485304962,3599.6250818840717,3571.379721016218,3568.8692232462886,9191.476949991096,9574.580763933784
instance_17.prob,ILS,9515.345375347457,17007.121945959127,17681.42176116087,9603.916086826666,9515.345375347457,9546.936240658326,15955.09720737678,17257.770100124402
instance_18.prob,ILS,557.0142988107199,1408.1735355195656,1572.110042970235,569.478064343877,557.0142988107199,557.0142988107199,1248.2706617966815,1501.4831675423281
instance_19.prob,VNS,2312.579044572127,4916.310241267015,5595.809902282659,2327.9852621719647,2313.3060252631617,2312.579044572127,4864.735099741018,5303.884962279191
instance_2.prob,ILS,1539.789647525157,3260.5325090972174,3900.4118326080757,1556.3423939601794,1539.789647525157,1539.789647525157,3271.2926618847923,3883.4090595964235
instance_20.prob,ILS,74.32366324872064,438.4222115988945,453.93278638587304,74.71914678135866,74.32366324872064,74.32366324872064,327.2066431515291,394.96435172550906
instance_21.prob,ILS,12616.877011854413,22890.976665914804,25013.768553049173,12674.908307742862,12616.877011854413,12640.21397122055,21922.852423876135,23858.017154056037
instance_22.prob,ILS,468.7984119183421,1516.4697753577166,1660.88820983265,472.01929221649317,468.7984119183421,468.7984119183421,1297.5036481360933,1470.575770135301
instance_23.prob,VNS,1176.963573101201,2955.075284345247,3056.2078765839356,1187.8699850963326,1180.4558932724615,1176.963573101201,2488.4601915356975,2912.0157993277785
instance_24.prob,VNS,5619.243716436026,14365.300677081108,16268.30037669131,5668.554257792085,5637.190196926177,5619.243716436026,13823.737224110742,15336.175197790702
instance_25.prob,ILS,2260.335122121994,4932.351987885284,5218.942050372363,2291.9259345885876,2260.335122121994,2260.335122121994,4524.890413163248,5174.848449595858
instance_26.prob,ILS,776.747142254968,1601.7473390212028,1672.009819004979,785.3752872456806,776.747142254968,778.9709860782543,1355.4541171993142,1648.6004099336528
instance_27.prob,VNS,1395.8715760451216,3154.0565944005475,3385.460744983202,1409.235080089968,1396.2041520292887,1395.8715760451216,3101.461863090911,3300.6032424652412
instance_28.prob,ILS,332.04893088186793,1004.6857875091979,1098.494609823337,333.8562153226739,332.04893088186793,332.04893088186793,803.9742434721687,1026.7035659274393
instance_29.prob,ILS,718.175136457322,2233.068306201492,2157.488368182221,730.5426829786891,718.175136457322,718.5936182918849,1750.9532350369807,2134.6686176499543
instance_3.prob,Regret-3,70.37426253317383,375.1205704439752,375.90871986147147,70.37426253317383,70.37426253317383,70.37426253317383,316.69106119487174,353.9111830661558
instance_30.prob,ILS,722.5570253395038,2009.7294240382803,1850.046248956161,725.8010037888808,722.5570253395038,722.5570253395038,1512.2286875943912,1810.8076469692714
instance_4.prob,VNS,2387.615962418888,5848.145325517324,5984.8168733330185,2412.896185811549,2394.2467281843706,2387.615962418888,5166.426472325554,5899.56130352068
instance_5.prob,VNS,2113.2116158914578,4626.486292309951,4698.138479232711,2120.218030040979,2114.1631049995144,2113.2116158914578,4140.962423924368,4664.725863219002
instance_6.prob,ILS,240.61236263287995,791.8839763705797,713.2415956929789,245.06121423591725,240.61236263287995,240.61236263287995,605.1567259615115,712.0196133660894
instance_7.prob,VNS,1400.0962312573683,2923.2626657920787,3358.8432109487135,1402.5332696857124,1400.5620725692183,1400.0962312573683,2965.713814256758,3336.2983572648195
instance_8.prob,ILS,1244.8078970062234,2656.131555136747,3222.0100653545396,1262.58267259888,1244.8078970062234,1244.8078970062234,2459.9808655261118,3102.8520977207927
instance_9.prob,VNS,3032.3246392279584,5444.74340228013,5758.594202265137,3074.0364543093833,3044.050870981791,3032.3246392279584,5202.944460837593,5736.635620761052
