Problem,Best_Method,Best_Tardiness,SPT,EDD,EDD+ILS,EDD+VNS,ExtremeOpt
instance_1.prob,ExtremeOpt,5708.316929033416,7710.662278185491,8462.659636415674,5837.789617671363,8164.656582049168,5708.316929033416
instance_10.prob,EDD+ILS,5546.6665119685385,7567.1810346775155,8415.088697756531,5546.6665119685385,7922.155927404234,5556.718167492574
instance_11.prob,EDD+ILS,5413.7597039783195,8020.506185926883,8108.350143499072,5413.7597039783195,7427.354903641194,5431.814902666678
instance_12.prob,ExtremeOpt,6788.607928738385,10499.246764472831,11845.807465412978,7155.295829594134,11422.34444798717,6788.607928738385
instance_13.prob,ExtremeOpt,3421.8923498383056,4900.708234765174,5172.874363280376,3489.2843808003868,4549.317920442598,3421.8923498383056
instance_14.prob,ExtremeOpt,3554.7788557055255,5071.22464366258,5220.454396736338,3682.969163179639,4917.366790217633,3554.7788557055255
instance_15.prob,ExtremeOpt,10701.210556190326,17285.252876105365,18141.5940802708,10946.77864066069,17687.374954893592,10701.210556190326
instance_16.prob,ExtremeOpt,5896.570033436626,8764.17162953759,10449.200485304962,6061.008913838896,10264.838000016189,5896.570033436626
instance_17.prob,ExtremeOpt,11592.380678125113,17007.121945959127,17681.42176116087,11667.839004682954,17444.178560636596,11592.380678125113
instance_18.prob,ExtremeOpt,1003.4419645343987,1408.1735355195656,1572.110042970235,1054.7396581468447,1104.1443879341127,1003.4419645343987
instance_19.prob,EDD+ILS,3550.50279338734,4916.310241267015,5595.809902282659,3550.50279338734,5238.088659033875,3611.357778620488
instance_2.prob,ExtremeOpt,2304.365894452537,3260.5325090972174,3900.4118326080757,2557.9733459707677,3613.571523204107,2304.365894452537
instance_20.prob,EDD+ILS,294.5462047994858,438.4222115988945,453.93278638587304,294.5462047994858,294.5462047994858,333.5478216713637
instance_21.prob,ExtremeOpt,15257.323418342192,22890.976665914804,25013.768553049173,15926.371854938889,24767.034180103823,15257.323418342192
instance_22.prob,ExtremeOpt,972.9242628174233,1516.4697753577166,1660.88820983265,1067.73912061097,1052.469750259234,972.9242628174233
instance_23.prob,EDD+ILS,2089.5233404007927,2955.075284345247,3056.2078765839356,2089.5233404007927,2501.1756758273514,2179.3320283395315
instance_24.prob,ExtremeOpt,9012.786264459795,14365.300677081108,16268.30037669131,9113.733073685602,15420.45871714583,9012.786264459795
instance_25.prob,ExtremeOpt,3453.43529269077,4932.351987885284,5218.942050372363,3566.4326008716016,4367.737942836337,3453.43529269077
instance_26.prob,ExtremeOpt,1179.3307896085648,1601.7473390212028,1672.009819004979,1227.7526291691456,1293.1170033806893,1179.3307896085648
instance_27.prob,ExtremeOpt,2128.1835694114125,3154.0565944005475,3385.460744983202,2362.6544599224394,2884.1580301181534,2128.1835694114125
instance_28.prob,ExtremeOpt,703.4355059551021,1004.6857875091979,1098.494609823337,721.9478195414142,719.3467607538269,703.4355059551021
instance_29.prob,ExtremeOpt,1459.316886767842,2233.068306201492,2157.488368182221,1517.3228772959155,1716.7445734583084,1459.316886767842
instance_3.prob,EDD+VNS,274.47543310792184,375.1205704439752,375.90871986147147,280.71265700832,274.47543310792184,319.62864822383574
instance_30.prob,ExtremeOpt,1292.8458245875004,2009.7294240382803,1850.046248956161,1322.8610544692103,1461.703815369746,1292.8458245875004
instance_4.prob,ExtremeOpt,3944.821486355896,5848.145325517324,5984.8168733330185,4135.985349155585,5694.652021079017,3944.821486355896
instance_5.prob,ExtremeOpt,3084.9857095138814,4626.486292309951,4698.138479232711,3315.6406707792967,4327.835917984944,3084.9857095138814
instance_6.prob,EDD+ILS,554.6557503946276,791.8839763705797,713.2415956929789,554.6557503946276,554.6557503946276,554.6557503946276
instance_7.prob,ExtremeOpt,2200.201001838851,2923.2626657920787,3358.8432109487135,2355.0976411201264,2884.7340924610567,2200.201001838851
instance_8.prob,ExtremeOpt,1958.2037199446072,2656.131555136747,3222.0100653545396,2159.4358589366234,2740.1664827732543,1958.2037199446072
instance_9.prob,ExtremeOpt,4010.1871085301264,5444.74340228013,5758.594202265137,4148.9034557475115,5607.857837965122,4010.1871085301264
