Problem,Initial_Tardiness,Final_Tardiness,Dispatch_Time(s),Total_Time(s),Status
instance_1.prob,inf,inf,0.021332,1.094388,BUG_INFEASIBLE_CAP
instance_10.prob,inf,inf,0.033774,1.249796,BUG_INFEASIBLE_CAP
instance_11.prob,inf,inf,0.033355,3.142985,BUG_INFEASIBLE_CAP
instance_12.prob,inf,inf,0.028613,2.148837,BUG_INFEASIBLE_CAP
instance_13.prob,inf,inf,0.060107,0.824226,BUG_INFEASIBLE_CAP
instance_14.prob,inf,inf,0.050744,1.074623,BUG_INFEASIBLE_CAP
instance_15.prob,inf,inf,0.056523,1.176581,BUG_INFEASIBLE_CAP
instance_16.prob,inf,inf,0.05537,0.519827,BUG_INFEASIBLE_CAP
instance_17.prob,inf,inf,0.027286,4.005537,BUG_INFEASIBLE_CAP
instance_18.prob,inf,inf,0.025196,0.386471,BUG_INFEASIBLE_CAP
instance_19.prob,inf,inf,0.045196,1.375725,BUG_INFEASIBLE_CAP
instance_2.prob,inf,inf,0.032421,0.8327,BUG_INFEASIBLE_CAP
instance_20.prob,inf,inf,0.006597,0.318538,BUG_INFEASIBLE_CAP
instance_21.prob,inf,inf,0.048639,0.614777,BUG_INFEASIBLE_CAP
instance_22.prob,inf,inf,0.010354,0.344755,BUG_INFEASIBLE_CAP
instance_23.prob,inf,inf,0.021882,1.755445,BUG_INFEASIBLE_CAP
instance_24.prob,inf,inf,0.057658,6.605669,BUG_INFEASIBLE_CAP
instance_25.prob,inf,inf,0.036093,0.482861,BUG_INFEASIBLE_CAP
instance_26.prob,inf,inf,0.007915,0.493746,BUG_INFEASIBLE_CAP
instance_27.prob,inf,inf,0.017656,0.321898,BUG_INFEASIBLE_CAP
instance_28.prob,inf,inf,0.00712,0.325447,BUG_INFEASIBLE_CAP
instance_29.prob,inf,inf,0.01498,0.397005,BUG_INFEASIBLE_CAP
instance_3.prob,inf,inf,0.007764,0.317727,BUG_INFEASIBLE_CAP
instance_30.prob,inf,inf,0.01692,0.408884,BUG_INFEASIBLE_CAP
instance_4.prob,inf,inf,0.035327,2.928478,BUG_INFEASIBLE_CAP
instance_5.prob,inf,inf,0.033154,1.790663,BUG_INFEASIBLE_CAP
instance_6.prob,inf,inf,0.011727,0.34227,BUG_INFEASIBLE_CAP
instance_7.prob,inf,inf,0.018502,0.566057,BUG_INFEASIBLE_CAP
instance_8.prob,inf,inf,0.018567,0.32051,BUG_INFEASIBLE_CAP
instance_9.prob,inf,inf,0.067305,0.631767,BUG_INFEASIBLE_CAP
