timestamp,temperature,wbgt,heartrate,spo2,risk_score,risk_status
2025-11-03 18:59:54,37.4,27.6,104,94,0.15,2
2025-11-03 18:59:56,40.3,31.6,127,91,0.98,5
2025-11-03 18:59:59,39.6,29.5,101,89,0.62,4
2025-11-03 19:00:02,40.3,28.8,82,93,0.66,4
2025-11-03 19:00:05,37.0,26.8,81,98,0.0,1
2025-11-03 19:00:08,39.6,25.1,95,98,0.27,2
2025-11-03 19:00:11,39.9,28.2,103,98,0.57,4
2025-11-03 19:00:14,37.0,29.4,80,88,0.23,2
2025-11-03 19:00:17,39.0,30.7,109,92,0.6,4
2025-11-03 19:00:20,38.9,25.9,75,89,0.32,2
2025-11-03 19:00:35,39.2,28.4,108,90,0.62,4
2025-11-03 19:00:41,38.1,29.8,108,93,0.6,4
2025-11-03 19:00:44,37.4,27.5,128,96,0.2,2
2025-11-03 19:00:47,39.1,30.3,73,89,0.5,3
2025-11-03 19:00:50,38.3,31.9,82,89,0.62,4
2025-11-03 19:00:53,38.2,25.6,98,91,0.3,2
2025-11-03 19:01:05,39.7,25.3,116,92,0.42,3
2025-11-03 19:01:08,39.9,30.7,84,99,0.45,3
2025-11-03 19:01:11,40.2,26.0,76,90,0.5,3
2025-11-03 19:01:14,37.6,30.9,112,99,0.3,2
2025-11-03 19:01:17,39.5,31.3,104,98,0.69,4
2025-11-03 19:01:20,39.9,25.3,111,91,0.42,3
2025-11-03 19:01:23,38.8,25.9,89,97,0.27,2
2025-11-03 19:01:26,40.3,27.9,78,92,0.48,3
2025-11-03 19:01:29,36.6,27.5,80,98,0.0,1
2025-11-03 19:01:32,38.9,25.6,76,92,0.3,2
2025-11-03 19:01:35,36.7,31.9,72,90,0.35,3
2025-11-03 19:01:38,38.3,30.3,95,92,0.48,3
2025-11-03 19:01:41,37.9,31.6,121,91,0.53,3
2025-11-03 19:01:44,36.6,31.6,79,90,0.35,3
2025-11-03 19:01:47,40.2,27.6,94,92,0.48,3
2025-11-03 19:01:50,40.4,30.6,126,93,0.86,5
2025-11-03 19:01:53,39.3,26.1,70,95,0.27,2
2025-11-03 19:01:56,38.7,28.8,85,91,0.48,3
2025-11-03 19:01:59,40.1,27.3,105,96,0.57,4
2025-11-03 19:02:02,39.6,30.6,111,89,0.62,4
2025-11-03 19:02:05,36.9,25.7,119,97,0.12,1
2025-11-03 19:02:08,40.3,27.1,76,98,0.45,3
2025-11-03 19:02:11,38.2,31.3,88,92,0.6,4
2025-11-03 19:02:14,38.1,31.8,81,96,0.57,4
2025-11-03 19:02:17,37.2,27.1,124,93,0.23,2
2025-11-03 19:02:20,37.2,31.1,70,97,0.3,2
2025-11-03 19:02:23,38.1,27.7,84,92,0.3,2
2025-11-03 19:02:26,38.9,25.6,79,89,0.32,2
2025-11-03 19:02:29,38.1,30.9,82,95,0.45,3
2025-11-03 19:02:32,37.4,25.8,113,97,0.12,1
2025-11-03 19:02:35,37.7,27.4,76,96,0.0,1
2025-11-03 19:02:38,39.5,31.4,98,89,0.62,4
2025-11-03 19:03:11,39.0,27.3,111,93,0.42,3
2025-11-03 19:03:14,37.9,30.6,124,94,0.41,3
2025-11-03 19:03:17,39.0,28.4,71,96,0.45,3
2025-11-03 19:03:20,37.2,30.2,98,91,0.21,2
2025-11-03 19:03:23,39.8,27.3,72,94,0.3,2
2025-11-03 19:03:26,39.8,29.1,97,90,0.5,3
2025-11-03 19:03:29,40.2,31.4,104,89,0.92,5
2025-11-03 19:03:32,37.4,25.5,126,91,0.23,2
2025-11-03 19:03:35,40.3,26.1,97,90,0.5,3
2025-11-03 19:03:38,38.6,28.3,78,91,0.48,3
2025-11-03 19:03:41,39.7,28.9,85,95,0.45,3
2025-11-03 19:03:44,39.1,28.0,121,93,0.68,4
2025-11-03 19:03:47,40.1,32.0,92,95,0.75,5
