origin_name,기업은행_무교지점,서소문청사_지상,서소문청사_지하,서울시_본관청사,을지로_신한은행앞,을지로_하나은행앞,청계3_고려상사앞,청계3_코리아몰앞,청계5,청계8가,훈련원공원
기업은행_무교지점,0,3.19,3.19,4.23,8.68,14.95,9.83,15.65,9.1,13.4,9.75
서소문청사_지상,9.44,0,0,12.91,16.34,15.53,17.75,15.60,15.75,21.59,16.79
서소문청사_지하,9.44,0,0,12.91,16.34,15.53,17.75,15.63,15.75,21.53,16.79
서울시_본관청사,3.23,3.29,3.29,0,14.08,12.38,15.23,13.08,14.57,15.55,15.18
을지로_신한은행앞,12.08,9.35,9.35,12.33,0,0.77,1.15,1.98,4.4,8.7,5.05
을지로_하나은행앞,11.43,8.40,8.40,11.68,7.4,0,8.55,6.35,7.65,11.45,8.3
청계3_고려상사앞,13.02,10.06,10.06,13.27,0.92,1.68,0,2.9,3.0,7.3,3.65
청계3_코리아몰앞,13.15,10.09,10.09,13.38,1.03,1.8,2.18,0,3.18,7.48,3.83
청계5,16.3,15.59,15.59,18.83,5.9,7.53,7.05,5.87,0,5.97,6.48
청계8가,22.85,18.53,18.53,23.08,10.7,11.52,11.85,13.57,11.07,0,11.93
훈련원공원,12.83,10.06,10.06,13.07,0.72,1.48,1.87,2.7,1.08,6.33,0
