origin_name,기업은행_무교지점,서소문청사_지상,서소문청사_지하,서울시_본관청사,을지로_신한은행앞,을지로_하나은행앞,청계3_고려상사앞,청계3_코리아몰앞,청계5,청계8가,훈련원공원
기업은행_무교지점,0.0,4.23,4.23,4.23,8.68,14.95,9.83,15.65,9.1,13.4,9.75
서소문청사_지상,7.94,0.0,0.0,9.08,13.77,16.08,15.1,17.61,14.09,20.75,15.07
서소문청사_지하,7.94,0.0,0.0,9.08,13.8,16.08,15.11,17.64,14.1,20.75,15.1
서울시_본관청사,3.23,5.71,5.71,0.0,14.08,12.38,15.23,13.08,14.57,15.55,15.18
을지로_신한은행앞,12.08,9.55,9.55,12.33,0.0,0.77,1.15,1.98,4.4,8.7,5.05
을지로_하나은행앞,11.43,8.61,8.61,11.68,7.4,0.0,8.55,6.35,7.65,11.45,8.3
청계3_고려상사앞,13.02,10.38,10.38,13.27,0.92,1.68,0.0,2.9,3.0,7.3,3.65
청계3_코리아몰앞,13.15,10.46,10.46,13.38,1.03,1.8,2.18,0.0,3.18,7.48,3.83
청계5,16.3,15.27,15.27,18.83,5.9,7.53,7.05,5.87,0.0,5.97,6.48
청계8가,22.85,20.39,20.51,23.08,10.7,11.52,11.85,13.57,11.07,0.0,11.93
훈련원공원,12.83,10.31,10.31,13.07,0.72,1.48,1.87,2.7,1.08,6.33,0.0
