origin_name,기업은행_무교지점,서소문청사_지상,서소문청사_지하,서울시_본관청사,을지로_신한은행앞,을지로_하나은행앞,청계3_고려상사앞,청계3_코리아몰앞,청계5,청계8가,훈련원공원
기업은행_무교지점,0.0,3.58,3.58,3.93,8.02,11.78,9.15,12.92,8.27,15.82,9.1
서소문청사_지상,6.72,0.0,0.0,7.68,11.65,13.6,12.77,14.9,11.92,17.55,12.75
서소문청사_지하,6.72,0.0,0.0,7.68,11.67,13.6,12.78,14.92,11.93,17.55,12.77
서울시_본관청사,2.77,4.83,4.83,0.0,12.32,10.4,13.43,11.53,11.42,14.53,12.25
을지로_신한은행앞,7.47,8.08,8.08,8.43,0.0,0.93,1.13,1.93,3.83,8.65,4.67
을지로_하나은행앞,6.67,7.28,7.28,7.63,6.62,0.0,7.75,5.83,6.83,10.97,7.67
청계3_고려상사앞,8.18,8.78,8.78,9.13,0.72,1.63,0.0,2.63,2.52,7.37,3.35
청계3_코리아몰앞,8.25,8.85,8.85,9.2,0.78,1.7,1.9,0.0,2.65,7.47,3.48
청계5,11.03,12.92,12.92,13.3,4.73,6.92,5.85,5.77,0.0,6.15,5.82
청계8가,16.5,17.25,17.35,17.53,9.17,10.08,10.28,12.9,9.43,0.0,11.42
훈련원공원,8.08,8.72,8.72,9.03,0.62,1.53,1.73,2.53,0.88,6.8,0.0
