origin_name,기업은행_무교지점,서소문청사_지상,서소문청사_지하,서울시_본관청사,을지로_신한은행앞,을지로_하나은행앞,청계3_고려상사앞,청계3_코리아몰앞,청계5,청계8가,훈련원공원
기업은행_무교지점,,3.4,3.4,4.07,10.05,16.32,11.23,17.1,10.43,16.23,11.02
서소문청사_지상,9.75,,0.0,12.58,19.6,17.65,20.8,18.45,21.12,23.77,21.78
서소문청사_지하,9.75,0.0,,12.58,19.6,17.65,20.8,18.45,21.2,23.77,21.87
서울시_본관청사,4.25,4.1,4.1,,16.43,14.53,17.65,15.3,17.87,20.65,18.5
을지로_신한은행앞,15.08,14.95,14.95,15.47,,0.9,1.18,2.08,4.55,10.25,5.12
을지로_하나은행앞,14.92,14.78,14.78,15.3,7.1,,8.28,6.05,6.68,12.42,7.25
청계3_고려상사앞,15.97,15.83,15.83,16.35,0.92,1.8,,2.98,3.22,8.9,3.78
청계3_코리아몰앞,16.1,15.97,15.97,16.48,1.07,1.95,2.23,,3.47,9.15,4.03
청계5,22.08,22.0,22.02,22.45,7.27,8.03,8.45,9.4,,8.2,7.58
청계8가,27.32,27.25,27.25,27.67,12.22,13.25,13.42,15.45,12.55,,12.52
훈련원공원,15.8,15.67,15.67,16.18,0.77,1.65,1.93,2.83,1.13,7.85,
