요일구분,K,MCS,방문순서,충전소명,station_key,시간대,time_window_start,time_window_end,arrival_time,service_start,service_end,service_minutes,발생횟수,발생비율_%,profit,위도,경도,from_station_key
평일,1,1,1,훈련원공원 노상공영주차장,훈련원공원,08시,08:38,09:43,08:38,08:38,09:23,45,114,46.2,46.2,37.56692913,127.0043893,청계3_코리아몰앞
평일,1,1,2,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,09시,09:29,09:59,09:29,09:29,09:59,30,86,34.8,34.8,37.56896427,127.0020909,훈련원공원
평일,1,1,3,기업은행 무교지점 앞 가로등형 충전소,기업은행_무교지점,10시,10:31,11:27,10:31,10:31,11:16,45,114,46.2,46.2,37.56762877,126.9795662,청계3_코리아몰앞
평일,1,1,4,훈련원공원 노상공영주차장,훈련원공원,11시,11:34,12:17,11:34,11:34,12:17,43,126,51.0,51.0,37.56692913,127.0043893,기업은행_무교지점
평일,1,1,5,훈련원공원 노상공영주차장,훈련원공원,12시,12:28,13:10,12:28,12:28,13:10,42,181,73.3,73.3,37.56692913,127.0043893,훈련원공원
평일,1,1,6,훈련원공원 노상공영주차장,훈련원공원,13시,13:27,14:02,13:27,13:27,14:02,35,141,57.1,57.1,37.56692913,127.0043893,훈련원공원
평일,1,1,7,훈련원공원 노상공영주차장,훈련원공원,14시,14:27,14:59,14:27,14:27,14:59,32,139,56.3,56.3,37.56692913,127.0043893,훈련원공원
평일,1,1,8,훈련원공원 노상공영주차장,훈련원공원,15시,15:33,16:20,15:35,15:35,16:20,45,166,67.2,67.2,37.56692913,127.0043893,훈련원공원
평일,1,1,9,훈련원공원 노상공영주차장,훈련원공원,16시,16:23,17:15,16:30,16:30,17:15,45,113,45.7,45.7,37.56692913,127.0043893,훈련원공원
평일,1,1,10,훈련원공원 노상공영주차장,훈련원공원,17시,17:25,18:13,17:28,17:28,18:13,45,101,40.9,40.9,37.56692913,127.0043893,훈련원공원
평일,1,1,11,훈련원공원 노상공영주차장,훈련원공원,18시,18:30,19:16,18:31,18:31,19:16,45,101,40.9,40.9,37.56692913,127.0043893,훈련원공원
평일,2,1,1,훈련원공원 노상공영주차장,훈련원공원,08시,08:38,09:43,08:38,08:38,09:23,45,114,46.2,46.2,37.56692913,127.0043893,청계3_코리아몰앞
평일,2,1,2,청계3 노상공영주차장(코리아몰 앞),청계3_코리아몰앞,09시,09:29,09:59,09:29,09:29,09:59,30,86,34.8,34.8,37.56896427,127.0020909,훈련원공원
평일,2,1,3,을지로 노상공영주차장(신한은행 앞),을지로_신한은행앞,10시,10:26,10:52,10:26,10:26,10:52,26,96,38.9,38.9,37.56710245,127.0017882,청계3_코리아몰앞
평일,2,1,4,을지로 노상공영주차장(하나은행 앞),을지로_하나은행앞,11시,11:27,11:58,11:27,11:27,11:58,31,122,49.4,49.4,37.56680167,126.9966063,을지로_신한은행앞
평일,2,1,5,기업은행 무교지점 앞 가로등형 충전소,기업은행_무교지점,12시,12:28,13:10,12:28,12:28,13:10,42,128,51.8,51.8,37.56762877,126.9795662,을지로_하나은행앞
평일,2,1,6,훈련원공원 노상공영주차장,훈련원공원,13시,13:27,14:02,13:27,13:27,14:02,35,141,57.1,57.1,37.56692913,127.0043893,기업은행_무교지점
평일,2,1,7,훈련원공원 노상공영주차장,훈련원공원,14시,14:27,14:59,14:27,14:27,14:59,32,139,56.3,56.3,37.56692913,127.0043893,훈련원공원
