요일구분,K,candidate_events,available_profit,covered_events,covered_profit,covered_profit_ratio,status,objective,objective_bound,mip_gap,runtime_sec,node_count,service_mode,top_n,min_ratio
평일,1,45,1962.9999999999998,11,559.6,0.28507386653082023,OPTIMAL,559.6,559.6,0.0,0.014999866485595703,0.0,capped,45,0.0
평일,2,45,1962.9999999999998,19,930.8000000000001,0.4741721854304637,OPTIMAL,930.8,930.8000000000001,0.0,0.06200003623962402,1.0,capped,45,0.0
평일,3,45,1962.9999999999998,27,1266.3999999999999,0.6451349974528783,OPTIMAL,1266.4,1266.4,0.0,0.08600020408630371,1.0,capped,45,0.0
평일,4,45,1962.9999999999998,34,1550.9,0.790066225165563,OPTIMAL,1550.8999999999999,1550.9,0.0,0.18999981880187988,1.0,capped,45,0.0
평일,5,45,1962.9999999999998,39,1751.6999999999998,0.8923586347427407,OPTIMAL,1751.7,1751.7,0.0,0.23100018501281738,1.0,capped,45,0.0
토요일,1,45,1310.0999999999995,15,510.00000000000006,0.389283260819785,OPTIMAL,510.0,510.0,0.0,0.018999814987182617,0.0,capped,45,0.0
토요일,2,45,1310.0999999999995,29,907.8999999999999,0.6930005343103581,OPTIMAL,907.9000000000001,907.9000000000001,0.0,0.10899996757507324,1.0,capped,45,0.0
토요일,3,45,1310.0999999999995,37,1119.8,0.8547439126784219,OPTIMAL,1119.8,1119.8,0.0,0.2650001049041748,1.0,capped,45,0.0
토요일,4,45,1310.0999999999995,43,1263.0,0.9640485459125262,OPTIMAL,1263.0,1263.0,0.0,0.192000150680542,1.0,capped,45,0.0
토요일,5,45,1310.0999999999995,44,1288.5,0.9835127089535154,OPTIMAL,1288.5,1288.5,0.0,0.2050001621246338,1.0,capped,45,0.0
일요일,1,45,1051.8000000000006,12,328.7,0.31251188438866684,OPTIMAL,328.70000000000005,328.70000000000005,0.0,0.03299999237060547,0.0,capped,45,0.0
일요일,2,45,1051.8000000000006,23,594.1000000000001,0.564841224567408,OPTIMAL,594.0999999999999,594.1,0.0,0.11800003051757812,1.0,capped,45,0.0
일요일,3,45,1051.8000000000006,33,803.7,0.7641186537364514,OPTIMAL,803.7,803.7,0.0,0.08299994468688965,1.0,capped,45,0.0
일요일,4,45,1051.8000000000006,37,886.3999999999999,0.8427457691576339,OPTIMAL,886.4000000000001,886.4000000000001,0.0,0.9919998645782471,1.0,capped,45,0.0
일요일,5,45,1051.8000000000006,40,944.1000000000001,0.897604107244723,OPTIMAL,944.0999999999999,944.1,0.0,0.20000004768371582,1.0,capped,45,0.0
공휴일,1,45,1213.8000000000004,16,500.2,0.4120942494644915,OPTIMAL,500.2,500.2,0.0,0.03900003433227539,1.0,capped,45,0.0
공휴일,2,45,1213.8000000000004,29,847.1000000000001,0.6978909210743119,OPTIMAL,847.1000000000001,847.1000000000001,0.0,0.1230001449584961,1.0,capped,45,0.0
공휴일,3,45,1213.8000000000004,38,1053.8000000000002,0.8681825671445047,OPTIMAL,1053.8,1053.8,0.0,0.42299985885620117,1.0,capped,45,0.0
공휴일,4,45,1213.8000000000004,42,1133.7,0.9340088976767175,OPTIMAL,1133.7,1133.7000000000003,0.0,0.2090001106262207,1.0,capped,45,0.0
공휴일,5,45,1213.8000000000004,43,1160.4,0.9560059317844782,OPTIMAL,1160.4,1160.4,0.0,0.23000001907348633,1.0,capped,45,0.0
